n,slice,paper_statements,cited_wrapper_file,cited_wrapper_line,cited_wrapper_name,in_import_closure,why_out_of_cone,in_cone_carriers,carrier_vs_paper,changed,note,cited_at
11,B,A.2 (Lemma),NavierStokes/ClosedIntervalMomentRepair.lean,16,NavierStokes.ClosedIntervalMomentRepair.Data,False,WRAPPER,NavierStokes/MomentRepair.lean:206 exists_unique_small_correction; NavierStokes/UniformAngularReset.lean:273 exists_smooth_solver_on_ball; :364 uniform_reset_branch,"LEAN WEAKER - existence, uniqueness in the ball and the 2*beta*||d|| bound are in cone; A.2's C^k bound ||c||_{C^k} <= 2 beta_k ||d||_{C^k} and the `Small k` hypothesis family are not",CHANGED (EXACT -> LEAN WEAKER),"`ClosedIntervalMomentRepair.lean` 0/24 in cone, outside the seeds' import closure.",align-B.md:22
12,A,4.7 (2nd) (Lemma),NavierStokes/ClosedIntervalMomentRepair.lean,151,NavierStokes.ClosedIntervalMomentRepair.Data.exists_smooth_same_branch,False,WRAPPER,NavierStokes/MomentRepair.lean:206 exists_unique_small_correction; NavierStokes/UniformAngularReset.lean:273 exists_smooth_solver_on_ball,LEAN WEAKER - the `same branch` identification and the C^k bound that made the first pass call it stronger are both display-only,CHANGED (LEAN STRONGER -> LEAN WEAKER),"Only consumer is ParameterizedMomentRepair.lean:45, also out of cone and out of the import closure.",align-A.md:37
13,B,5.5 (Prop) ; B.10 (Cor),NavierStokes/ConstructedSlowBase.lean,932,NavierStokes.ConstructedSlowBase.exists_actual_base,True,WRAPPER,NavierStokes/FinalSlowBase.lean:619 ProfileData; :627 profileData_nonempty; NavierStokes/ConstructedSlowBase.lean:906 Modulated.residual_identity; :919 Modulated.weighted_bound,EXACT - the in-cone route builds the same object constructively (ProfileData + Classical.choice) and proves the same per-field conclusions; the wrapper only re-packages them existentially,SAME,Zero consumers. Its proof is literally `obtain := exists_modulated_profile; exact <Modulated.* lemmas>`.,align-B.md:20 ; align-B.md:40
14,D,9.6 (Proposition),NavierStokes/ExponentLedger.lean,63,NavierStokes.ExponentLedger.wave_increment,True,WRAPPER,NavierStokes/ExponentLedger.lean:291 stage_parameter_succ; NavierStokes/ActualCyclePreservation.lean:826 state_runInvariant,EXACT in shape - the +1/10 per cycle and the induction that chains it are in cone; the ledger's gain-margin arithmetic (wave_increment and the ~40 margin lemmas) is not,SAME,"Only 4 consumers, all inside the out-of-cone ledger cluster; 46 of ExponentLedger's 53 declarations are out of cone.",align-D.md:32
15,B,A.1 (Lemma),NavierStokes/ExponentialMomentMatrix.lean,72,NavierStokes.ExponentialMomentMatrix.expBumpMomentMatrix_det_ne_zero,False,WRAPPER,NavierStokes/PowerMomentMatrix.lean:261 bumpMomentMatrix_det_ne_zero; :143 powerEvaluationMatrix_det_ne_zero,EXACT on A.1's invertibility for the power family; NO IN-CONE COUNTERPART for the exponential/log variant,"CHANGED (LEAN STRONGER -> EXACT, partial)","Display layer; only consumer is SmoothExponentialMomentMatrix.lean:69, also display-only.",align-B.md:21
16,D,"(prose, line 139) ; (prose, line 643)",NavierStokes/FinalSlowBase.lean,361,NavierStokes.FinalSlowBase.origin,True,WRAPPER,NavierStokes/FinalSlowBase.lean:356 leading_origin; NavierStokes/BaseResidual.lean:61 baseVelocity_at_origin,EXACT - `origin` is one rewrite of the two in-cone lemmas; the closed form the prose quotes follows from them,SAME,"`origin` (:361) is out of cone while its two inputs and its neighbours (:330 residual_identity, :335 error_jetRate, :372 axis_tendsto, :384 weighted_jets) are all in cone; the short name `origin` is ambiguous with ConstructedSlowBase.Modulated.origin, so grep alone overcounts consumers.",align-D.md:139 ; align-D.md:643
17,B,5.2 (Lemma),NavierStokes/FiveRowRank.lean,311,NavierStokes.FiveRowRank.exists_five_row_repair,True,WRAPPER,NavierStokes/GlobalSlowProfiles.lean:799 exists_step; :786 StepProperties; :758 Admissible; NavierStokes/PositiveOrderMoments.lean:77 rowDensity,EXACT - the five moment rows and the step construction are in cone; only the finite-rank repair packaging is not,SAME,Zero consumers.,align-B.md:17
18,B,A.9 (Lemma),NavierStokes/FlatPrimitivePaper.lean,76,NavierStokes.FlatPrimitivePaper.exists_factor_on_rectangle,False,WRAPPER,NavierStokes/ParametricFlatFactor.lean:222 factor_contDiff; NavierStokes/FlatPrimitiveFactor.lean:255 factor_contDiff,"LEAN WEAKER - the in-cone machinery gives the smooth parametric factor, but the paper's A.9 identity on the rectangle, B(p,0)=b(p,0)/c and the uniform jet bounds on K x [0,delta0] are stated only in the display file",CHANGED (LEAN STRONGER -> LEAN WEAKER),"NavierStokes/FlatPrimitivePaper.lean has exactly 2 declarations, both out of cone and out of the seeds' import closure; zero consumers.",align-B.md:29
19,A,4.8 (Lemma),NavierStokes/HeatedOutgoing.lean,875,NavierStokes.HeatedOutgoing.exists_heated_profile,True,WRAPPER,NavierStokes/ExtendedHeatedOutgoing.lean:81 exists_witness; NavierStokes/OutgoingProfile.lean:557 Specification,EXACT - the in-cone `exists_witness` supplies exactly the compensation witness the wrapper re-exports,SAME,"Chain ends at ExtendedHeatedOutgoing.lean:932 exists_fixed_schedule, out of cone.",align-A.md:38
20,C,8.4 (Proposition (integrated equations)),NavierStokes/IntegratedMeanBalances.lean,639,NavierStokes.IntegratedMeanBalances.integrated_angular_balance,True,WRAPPER,NavierStokes/StateMomentBalances.lean:626 integrated_angular_along; :661 integrated_axial_along; :767 state_angular_moment; :980 state_axial_moment,"LEAN STRONGER - the in-cone twin proves the same balance for an ARBITRARY direction pair (z,t) rather than the fixed coordinate direction (0,1), by the same proof",SAME (EXACT/LEAN STRONGER),"The whole 8.4 family in IntegratedMeanBalances.lean (:619 angularBalance, :629 axialBalance, :639, :674, :735, :833, :843, :931) is out of cone while every moment lemma it rests on (:122, :134, :196, :211, :321, :556) is in cone - the in-cone consumer is the StateMomentBalances twin.",align-C.md:41
21,C,6.3 (Lemma (number of relevant labels)),NavierStokes/LabelCounting.lean,231,NavierStokes.LabelCounting.pointwise_count,False,WRAPPER,(none found),NO IN-CONE COUNTERPART - no in-cone declaration counts relevant labels,SAME (align-C already flagged `off the headline path`),NavierStokes/LabelCounting.lean is 0/22 in cone and reachable only through PaperAdditionalResults.lean.,align-C.md:26
22,A,3.2 (Definition),NavierStokes/LeadingStress.lean,372,NavierStokes.LeadingStress.physicalVelocity,True,WRAPPER,NavierStokes/AxisymmetricFields.lean:27 radialEnergy; :29 profilePoint; NavierStokes/ProfileHistories.lean:303 Profiles,"NO IN-CONE COUNTERPART for the leading-stress physical velocity itself; the paper's 3.2 is routed around structurally, exactly as the first pass said",SAME (NO COUNTERPART - routed around),`physicalVelocity` (:372) is out of cone while its sibling `physicalPressure` (:376) is in cone; the whole leading-stress model velocity is used only inside LeadingStress.lean.,align-A.md:26
23,B,"(prose, line 461)",NavierStokes/LeadingStress.lean,458,NavierStokes.LeadingStress.theta_transport_stress,True,WRAPPER,NavierStokes/LeadingStress.lean:193 theta_transport_coefficient; :309 radialDivergence_pullback,NO IN-CONE COUNTERPART for the prose identity; the in-cone content is the coefficient/pullback algebra it is assembled from,SAME,"Single consumer is navierStokesResidual_tangential (:571), itself out of cone with zero consumers.",align-B.md:461
24,A,4.2 (Proposition),NavierStokes/LeadingStress.lean,571,NavierStokes.LeadingStress.navierStokesResidual_tangential,True,WRAPPER,NavierStokes/ConstructedSlowBase.lean:906 Modulated.residual_identity; NavierStokes/FinalSlowBase.lean:330 residual_identity,"NO IN-CONE COUNTERPART as stated - Proposition 4.2's identity (Cartesian NS residual = minus the weighted radial divergences of q^{-A-1/2} T0) has no in-cone statement; the in-cone residual identity is the different, coarser `navierStokesResidual = stressForce + error`",CHANGED (EXACT -> NO IN-CONE COUNTERPART),Zero consumers; both declarations align-A cites for 4.2 are out of cone.,align-A.md:29
25,A,4.6 (Theorem) ; C.3 (Proposition),NavierStokes/LeadingStressWeights.lean,1154,NavierStokes.LeadingStressWeights.exists_weighted_profile,True,WRAPPER,NavierStokes/FinalSlowBase.lean:619 ProfileData; :627 profileData_nonempty; NavierStokes/LeadingStressWeights.lean:1067 stress_zero_before; :1089 zeta; NavierStokes/ReservedPatches.lean:333 heated_fields,EXACT on 4.6/C.3's substance - the FullTrueCone + WeightedBounds + edge-factor package is a field of the in-cone ProfileData; only the existential restatement is out of cone,SAME,Zero consumers. Proof is one `obtain` from exists_modulated_profile plus three in-file lemmas.,align-A.md:35 ; align-A.md:46
26,D,9.1 (Proposition) ; 9.3 (Proposition),NavierStokes/LinearWaveBounds.lean,898,NavierStokes.LinearWaveBounds.constructed_linear_wave_with_flat_error,True,DEAD,NavierStokes/LinearWaveBounds.lean:833 constructed_linear_wave_with_excluded (5 consumers),"LEAN WEAKER - the carrier proves the WaveClass bound and the constructedGood/excludedSlotError decomposition, but NOT the paper's all-order flat error `forall N, UnweightedClass s N (excludedSlotError ...)`, which exists only behind the unsupplied `GaussianTailFlat.FlatEdges`",CHANGED (EXACT (partial) -> LEAN WEAKER),"Zero consumers; takes `GaussianTailFlat.FlatEdges` (confirmed unsupplied). The flat-error clause enters only through NavierStokes/LinearWaveBounds.lean:868 excludedSlotError_all_gains, used only at NavierStokes/ParticularWaveAssembly.lean:1547 LocalControl.gaussian_flat, which is itself out of cone inside a structure 25 of whose other field lemmas ARE in cone.",align-D.md:27 ; align-D.md:29
27,D,10.1 (Proposition),NavierStokes/LocalAngularGrowth.lean,60,NavierStokes.LocalAngularGrowth.localized_eq_raw,False,WRAPPER,NavierStokes/SpatialLocalization.lean:49 spatialCutoff; NavierStokes/TimeLocalization.lean:74 activatedVelocity_eq_late; NavierStokes/R3/ActualCandidate.lean:40 localized_residual_zero_early,"EXACT - split; the in-cone half of 10.1 is intact, the cited `localized_eq_raw` is a display-layer restatement of the same plateau identity",SAME,Display layer (LocalAngularGrowth.lean 0/18).,align-D.md:21
28,D,"(prose, line 84)",NavierStokes/LocalAngularGrowth.lean,238,NavierStokes.LocalAngularGrowth.selected_candidate_one_with_angular_growth,False,WRAPPER,NavierStokes/R3/ActualCandidate.lean:143 selected_candidate_one_with_initial_rest; NavierStokes/R3/ProblemStatement.lean:~111 CandidateProperties.speed_unbounded,LEAN WEAKER - the in-cone candidate carries only the qualitative `SpeedUnboundedAtOne`; the quantitative `AngularGrowth` rate (NavierStokes/LocalAngularGrowth.lean:180) has no in-cone counterpart,CHANGED (quantitative rate -> NO IN-CONE COUNTERPART),Zero consumers; display layer.,align-D.md:84
29,A,3.1 (Theorem),NavierStokes/LocalPaperHeat.lean,22,NavierStokes.LocalPaper.Properties.exterior_profile_smooth,False,WRAPPER,NavierStokes/R3CompactCandidate.lean:24 Properties; :248 of_localized_fields,NO IN-CONE COUNTERPART for the exterior heat-profile clauses of Theorem 3.1 (exterior_profile_smooth and the four sibling exterior lemmas),CHANGED (LEAN STRONGER -> partial: exterior clauses have no in-cone counterpart),NavierStokes/LocalPaperHeat.lean is 0/5 in cone and outside the seeds' import closure.,align-A.md:25
30,AD,3.1 (Theorem) ; 9.9 (Proposition),NavierStokes/LocalPaperTheorem.lean,53,NavierStokes.LocalPaper.Properties,False,WRAPPER,NavierStokes/R3CompactCandidate.lean:24 Properties; :248 of_localized_fields; :179 of_periodic_local_model,"LEAN WEAKER - `LocalPaper.Properties` bundles more (AwayExtensions, UniformJetsOnScaleStrips, all-order residual flatness, the exterior clause) than the in-cone `R3CompactCandidate.Properties` used on the headline route",CHANGED (LEAN STRONGER / EXACT -> LEAN WEAKER against the carrier),"LocalPaperTheorem.lean is 0/9 in cone; only R3CompactCandidate consumes the name, and those are different declarations in a different namespace.",align-A.md:25 ; align-D.md:35
31,D,"(prose, line 596)",NavierStokes/LocalPaperTheorem.lean,179,NavierStokes.LocalPaper.local_theorem,False,WRAPPER,NavierStokes/R3/ActualCandidate.lean:143 selected_candidate_one_with_initial_rest; NavierStokes/R3CompactCandidate.lean:248 of_localized_fields,EXACT on what the headline needs; the full `local_theorem` bundle is display-only,SAME,Its only textual reference is an import line (LocalPaperHeat.lean:8).,align-D.md:596
32,A,4.10 (Proposition),NavierStokes/MatchingDebtBounds.lean,887,NavierStokes.MatchingDebtBounds.exists_nominal_witness,True,WRAPPER,NavierStokes/NominalConeAssembly.lean:1517 exists_nominal_cone; NavierStokes/NominalProfile.lean:2481 Witness; :2536 Witness.five_moments,EXACT - the in-cone route obtains the same `NominalProfile.Witness` (with the five-moment certificate) constructively,SAME,"Chain: exists_nominal_witness -> exists_nominal_with_small_coefficients / nominal_witness_exists, both out of cone with no further consumers.",align-A.md:40
33,B,B.10 (Cor),NavierStokes/MatchingDebtBounds.lean,928,NavierStokes.MatchingDebtBounds.nominal_witness_exists,True,WRAPPER,NavierStokes/NominalConeAssembly.lean:1517 exists_nominal_cone; NavierStokes/NominalProfile.lean:2481 Witness,EXACT - B.10's inhabitation is supplied in cone by exists_nominal_cone rather than by this `Nonempty` wrapper,SAME,Zero consumers.,align-B.md:40
34,A,4.6 (Theorem) ; C.2 (Proposition),NavierStokes/ModulatedProfileAssembly.lean,1126,NavierStokes.ModulatedProfileAssembly.exists_modulated_profile,True,WRAPPER,NavierStokes/NominalConeAssembly.lean:1517 exists_nominal_cone; NavierStokes/ModulatedProfileAssembly.lean:1101 exists_of_certificate; :661 Witness.true_cone_from_nominal; NavierStokes/FinalSlowBase.lean:627 profileData_nonempty,"EXACT - `exists_modulated_profile` is the two-line composition of two in-cone theorems, and `profileData_nonempty` performs exactly that composition on the headline route",SAME,"Its only two consumers are the other two zero-consumer wrappers (ConstructedSlowBase:932, LeadingStressWeights:1154).",align-A.md:35 ; align-A.md:45
35,A,C.2 (Proposition),NavierStokes/ModulatedProfileJetRates.lean,347,NavierStokes.ModulatedProfileJetRates.exists_with_moment_repair_all_jets,False,WRAPPER,NavierStokes/ModulatedProfileAssembly.lean:619 Witness.rows_outside; :627 Witness.stocks_outside; :641 Witness.shears_outside; :661 Witness.true_cone_from_nominal,EXACT in substance - the four clauses C.2 needs are in-cone fields of the in-cone `Witness`; only the O(1/n) jet-rate packaging is display-only,"SAME, with the C/n jet bound newly flagged as out of cone","ModulatedProfileJetRates.lean 0/10 in cone, outside the seeds' import closure; zero consumers.",align-A.md:45
36,A,4.7 (2nd) (Lemma),NavierStokes/MomentRepairPicardConvergence.lean,21,NavierStokes.MomentRepairPicardConvergence.exists_small_solution_with_iterates,False,WRAPPER,NavierStokes/MomentRepair.lean:206 exists_unique_small_correction; :154 correctionIteration_norm_le; :173 correctionIteration_sub_le,"EXACT on existence/uniqueness/bound; the Picard-limit `Tendsto` clause has no in-cone statement (the in-cone theorem concludes `ExistsUnique`, not convergence of the iterates)","CHANGED (LEAN STRONGER -> EXACT, one clause out of cone)","Display layer; three consumers, all out of cone.",align-A.md:37
37,B,B.2 (Prop),NavierStokes/NaturalAxisJointAnalytic.lean,87,NavierStokes.NaturalEntrance.CoefficientProfile.natural_analytic,False,WRAPPER,NavierStokes/AxisContraction.lean:753 natural_axis_profiles; :731 coefficient_fixedPoint; NavierStokes/AnalyticCoefficientBounds.lean:315 uniform_normalizedExp_axisData,EXACT - the fixed-point construction and its analytic coefficient bounds are in cone; only the packaged analyticity of the four named profile fields is not,SAME,Display layer (NaturalAxisJointAnalytic.lean 0/9).,align-B.md:32
38,B,B.3 (Prop),NavierStokes/NaturalExitBounds.lean,130,NavierStokes.NaturalExitBounds.Estimates,False,WRAPPER,(none found),"NO IN-CONE COUNTERPART - none of B.3's exit estimates (phi_lower, source_lower, p1_lower, ns_error, cone_margin, parameter_jets) has an in-cone statement",CHANGED (LEAN STRONGER -> NO IN-CONE COUNTERPART),"NavierStokes/NaturalExitBounds.lean is 0/8 in cone and outside the seeds' import closure; searched `exists_exit`, `coneSize`, `Estimates`, `ideal_prefix_exit` and the NaturalEntrance/ReferenceBounds namespaces.",align-B.md:33
39,A,4.10 (Proposition),NavierStokes/NominalProfile.lean,2637,NavierStokes.NominalProfile.exists_assembly_threshold,True,WRAPPER,NavierStokes/NominalConeAssembly.lean:1517 exists_nominal_cone; NavierStokes/ExtendedHeatedOutgoing.lean:81 exists_witness,EXACT - the assembly threshold is supplied in cone by exists_witness inside exists_nominal_cone,SAME,Zero consumers.,align-A.md:40
40,C,7.7 (Lemma (exact curls)),NavierStokes/OscillatoryCurl.lean,160,NavierStokes.OscillatoryCurl.wave_eq,True,WRAPPER,NavierStokes/CurlClassBounds.lean:758 curlRemainder_waveClass,"LEAN WEAKER - the in-cone carrier gives the class bound on the curl remainder, but Lemma 7.7's EXACT curl identity and exact divergence-freeness have no in-cone statement",CHANGED (EXACT -> LEAN WEAKER),"In OscillatoryCurl.lean only the definitions and two periodicity lemmas are in cone; `wave_eq` (:160), `wave_divergence_free` (:188), `wave_tsupport_subset` (:224) and `wave_eq_stripped` (:274) are all out. The one place the exact-curl clause is used, NavierStokes/ParticularWaveAssembly.lean:1565 LocalControl.exact_curl, is itself out of cone.",align-C.md:36
41,A,3.3 (Definition),NavierStokes/OutgoingProfile.lean,640,NavierStokes.OutgoingProfile.exists_outgoing_profile,True,WRAPPER,NavierStokes/OutgoingProfile.lean:557 Specification; NavierStokes/ExtendedHeatedOutgoing.lean:81 exists_witness,EXACT - 3.3 is a prose convention; the nested-existential ordering the first pass pointed at is reproduced in cone by the same Specification/witness pair,SAME (NO COUNTERPART - routed around),"Chain ends at OutgoingDilation.lean:637 / ExtendedHeatedOutgoing.lean:932, both out of cone.",align-A.md:27
42,B,5.1 (Lemma),NavierStokes/PositiveAxisDifferential.lean,257,NavierStokes.PositiveAxisDifferential.positive_solution_unique,False,WRAPPER,NavierStokes/SlowRecursion.lean:1272 buildLocalHierarchy; :1256 LocalHierarchy; NavierStokes/ActualSlowAxis.lean:287 hierarchy,EXACT on 5.1's existence/regularity; NO IN-CONE COUNTERPART for the uniqueness clause in the larger competitor class,"CHANGED (LEAN STRONGER -> EXACT, uniqueness out of cone)",NavierStokes/PositiveAxisDifferential.lean is 0/21 in cone and outside the seeds' import closure; the apparent SimilarityCoordinates consumers are a distinct declaration with the same short name (NavierStokes/SimilarityCoordinates.lean:103).,align-B.md:16
43,B,A.2 (Lemma),NavierStokes/QuadraticLinearization.lean,12,NavierStokes.QuadraticLinearization.isInvertible,False,WRAPPER,NavierStokes/UniformAngularReset.lean:223 tangent_invertible; :273 exists_smooth_solver_on_ball,EXACT - the linearization-invertibility step is in cone in the reset-solver form,SAME,"QuadraticLinearization.lean has 1 declaration, out of cone and outside the import closure.",align-B.md:22
44,D,10.4 (Lemma),NavierStokes/R3/IntegratedDissipation.lean,143,NavierStokesR3.CompactEnergy.candidate_l2Norm_le_cumulativeForceNorm,True,ABOVE_SEED,NavierStokes/R3/ProblemStatement.lean:108 CandidateProperties.energy_bounded (UniformFiniteEnergy (Ico 0 1) u),"LEAN WEAKER - the only in-cone energy statement is the plain uniform L2 bound; Lemma 10.4's dissipation inequality (10.13), the L2-norm/force comparison and the integrability clauses are reached only above the seed",CHANGED (LEAN STRONGER -> LEAN WEAKER / NO IN-CONE COUNTERPART for (10.13)),"Consumed only by NavierStokes/R3/IntegratedDissipation.lean:183/:203 and thence by theorem_1_1_with_dissipation, which wraps the seed. The whole file is 0/8 in cone.",align-D.md:24
45,D,10.4 (Lemma),NavierStokes/R3/Theorem.lean,66,NavierStokesR3.theorem_1_1_with_dissipation,True,ABOVE_SEED,NavierStokes/R3/Theorem.lean:46 theorem_1_1 (the seed itself),"LEAN STRONGER than the seed but irrelevant to it - `theorem_1_1_with_dissipation` is `theorem_1_1` plus CompactEnergy.candidate_energy_estimates, so it implies the seed and cannot be below it",SAME (legitimately above the seed),Zero consumers; this is the reference ABOVE_SEED case.,align-D.md:24
46,B,B.7 (Lemma),NavierStokes/ReferenceEndpointRate.lean,275,NavierStokes.ReferenceEndpointRate.exists_entrance_envelope,False,WRAPPER,(none found),NO IN-CONE COUNTERPART - the entrance-envelope constants of B.7 have no in-cone statement,CHANGED (EXACT -> NO IN-CONE COUNTERPART),"NavierStokes/ReferenceEndpointRate.lean is 0/17 in cone and outside the seeds' import closure; zero consumers. Searched `endpointLog`, `endpointU`, `Cjoin`, `exists_linear_Ck_constants`.",align-B.md:37
47,B,B.4 (Lemma),NavierStokes/ReferenceUniformStocks.lean,414,NavierStokes.ReferenceUniformStocks.uniform_reference_quantities,False,WRAPPER,NavierStokes/ReferenceBounds.lean:1004 ReferenceBoundsOnHold; :1180 exists_reference_bounds,EXACT on the bounds half of B.4; NO IN-CONE COUNTERPART for the four `Uniform k` C^k families,"CHANGED (EXACT -> EXACT on bounds, C^k half out of cone)",ReferenceUniformStocks.lean is 0/41 in cone and outside the import closure.,align-B.md:34
48,A,4.8 (Lemma),NavierStokes/SchedulePressure.lean,175,NavierStokes.SchedulePressure.axisPressure_even,True,CENSUS_MISS (attribute blind spot),NavierStokes/SchedulePressure.lean:155 axisPressure_eq; :171 axisPressure_contDiff; NavierStokes/PressureDatum.lean:62 pressure_neg,EXACT - evenness holds definitionally for the in-cone `axisPressure` through `axisPressure_eq` + `PressureDatum.pressure_neg`,"SAME, but the cone verdict for this row is not decidable at name level","This is the ONLY one of the 64 rows carrying an implicit-use attribute: it is `@[simp]`, so `simp` can fire it anywhere in the cone without naming it - exactly cone.py's documented under-approximation. `axisPressure` itself is in cone and used in ~8 in-cone files.",align-A.md:38
49,A,4.3 (Lemma),NavierStokes/SeedHandbackJets.lean,94,NavierStokes.SeedHandbackJets.stocks_formulas,False,WRAPPER,NavierStokes/StressAlgebra.lean:238 angular_integrated_lag; :255 axial_integrated_lag,"EXACT - both displayed formulas of (4.16) are in cone in the StressAlgebra rendering; only the second, definitional SeedHandbackJets rendering is not",SAME,NavierStokes/SeedHandbackJets.lean is 0/40 in cone and outside the seeds' import closure; zero consumers.,align-A.md:30
50,A,4.4(ii) (Lemma),NavierStokes/SeedHandbackJets.lean,354,NavierStokes.SeedHandbackJets.profile_comparison_norm,False,WRAPPER,(none found),NO IN-CONE COUNTERPART - the profile-comparison estimate (4.17) has no in-cone statement,CHANGED (EXACT -> NO IN-CONE COUNTERPART),"Both declarations align-A cites (:354 profile_comparison_norm, :269 profile_comparison) are in the display-only SeedHandbackJets.lean; searched `outputDifference`, `fieldDifference`, `historyDifference`, `parameterNorm` repository-wide - they occur only in that file.",align-A.md:32
